timestamp,download_Mbps,upload_Mbps
2025-05-22 14:38:25.253509,20.54,16.41
2025-05-22 14:38:55.742086,20.09,36.88
2025-05-22 14:39:25.998235,10.75,14.81
2025-05-22 14:39:56.190231,16.91,22.99
2025-05-22 14:40:26.790654,13.81,15.16
2025-05-22 14:40:57.211601,11.22,36.43
2025-05-22 14:41:27.666096,4.13,10.45
2025-05-22 14:41:58.245982,8.06,16.8
2025-05-22 14:42:28.894819,10.94,15.19
2025-05-22 14:42:59.495883,12.66,34.65
2025-05-22 14:43:30.041889,7.91,18.69
2025-05-22 14:44:00.741470,12.84,39.56
2025-05-22 14:44:32.928296,15.87,38.91
2025-05-22 14:45:04.639449,13.41,41.29
2025-05-22 14:45:34.827403,13.28,36.22
2025-05-22 14:46:06.580655,11.84,46.62
2025-05-22 14:46:36.921253,12.51,25.87
2025-05-22 14:47:11.705205,17.19,47.64
2025-05-22 14:47:42.152261,7.44,31.54
2025-05-22 14:48:12.467493,11.79,34.63
2025-05-22 14:48:42.847841,9.56,20.07
2025-05-22 14:49:13.632297,17.95,14.47
2025-05-22 14:49:43.907546,4.86,16.06
2025-05-22 14:50:14.203336,17.0,16.17
2025-05-22 14:50:45.497046,13.31,14.9
2025-05-22 14:51:16.278672,21.82,19.9
2025-05-22 14:51:46.666982,16.37,20.22
2025-05-22 14:52:16.878826,11.44,23.41
2025-05-22 14:52:47.211619,11.32,17.32
2025-05-22 14:53:17.623151,18.27,35.73
2025-05-22 14:53:47.926148,12.86,39.61
2025-05-22 14:54:18.112844,10.04,48.53
2025-05-22 14:54:48.566140,12.68,28.39
2025-05-22 14:55:18.914211,17.99,8.4
2025-05-22 14:55:49.949706,12.15,41.61
2025-05-22 14:56:20.147811,15.64,48.62
2025-05-22 14:56:50.399057,10.91,20.05
2025-05-22 14:57:20.873137,18.61,37.66
2025-05-22 14:57:51.136267,13.78,47.92
2025-05-22 14:58:21.443160,12.92,38.01
2025-05-22 14:58:51.932225,14.93,20.44
2025-05-22 14:59:22.830020,19.27,30.61
2025-05-22 14:59:56.428219,18.77,48.59
2025-05-22 15:00:26.678113,23.84,39.02
2025-05-22 15:00:56.963409,12.72,39.48
2025-05-22 15:01:27.500096,19.19,22.08
2025-05-22 15:01:58.072301,24.1,55.22
2025-05-22 15:02:28.324085,19.54,9.77
2025-05-22 15:03:01.862526,8.98,38.73
2025-05-22 15:03:32.248927,25.78,51.23
2025-05-22 15:04:02.432141,26.18,45.72
2025-05-22 15:04:32.694920,20.15,53.3
2025-05-22 15:05:03.369970,21.47,48.31
2025-05-22 15:05:33.618835,15.76,31.91
2025-05-22 15:06:03.929484,20.42,20.6
2025-05-22 15:06:35.076447,19.47,49.02
2025-05-22 15:07:05.335368,21.82,49.38
2025-05-22 15:07:35.610824,12.74,52.67
2025-05-22 15:08:06.137609,23.92,26.81
2025-05-22 15:08:36.446690,23.56,59.47
2025-05-22 15:09:06.670144,24.16,56.71
2025-05-22 15:09:36.899660,15.53,59.02
2025-05-22 15:10:07.935863,24.41,38.45
2025-05-22 15:10:42.483816,23.63,50.19
2025-05-22 15:11:12.818540,16.11,19.84
2025-05-22 15:11:44.168774,25.14,22.04
2025-05-22 15:12:15.177684,18.45,21.66
2025-05-22 15:12:45.541086,24.98,51.92
2025-05-22 15:13:15.863360,26.77,20.67
2025-05-22 15:13:46.611910,16.76,58.28
2025-05-22 15:14:16.936796,17.4,28.56
2025-05-22 15:14:47.763442,23.52,29.4
2025-05-22 15:15:19.875678,23.18,27.85
2025-05-22 15:15:50.314980,13.45,52.0
2025-05-22 15:16:20.865705,24.29,23.37
2025-05-22 15:16:51.472127,24.27,56.33
2025-05-22 15:17:21.655325,24.35,30.67
2025-05-22 15:17:51.872121,26.75,30.32
2025-05-22 15:18:22.373322,23.93,29.17
2025-05-22 15:18:52.684190,17.16,56.48
2025-05-22 15:19:22.912377,26.02,36.63
2025-05-22 15:19:53.463881,13.78,44.66
2025-05-22 15:20:23.832386,23.99,2.86
2025-05-22 15:21:02.436599,0.0,41.6
2025-05-22 15:21:39.528501,19.51,47.15
2025-05-22 15:22:09.888684,23.6,28.68
2025-05-22 15:22:41.607271,24.05,57.53
2025-05-22 15:23:11.771513,17.42,59.43
2025-05-22 15:23:42.175363,24.89,57.63
